feature_set,model_or_ensemble,n_test,TP,FN,TN,FP,accuracy,precision,recall,f1,specificity,fnr,fpr,mcc
original,SVM,2500,80,5,2204,211,0.9136,0.27491408934707906,0.9411764705882353,0.425531914893617,0.9126293995859214,0.058823529411764705,0.08737060041407868,0.4824838871160521
original,RF,2500,46,39,2409,6,0.982,0.8846153846153846,0.5411764705882353,0.6715328467153285,0.9975155279503105,0.4588235294117647,0.002484472049689441,0.6840709952618313
original,KNN,2500,27,58,2406,9,0.9732,0.75,0.3176470588235294,0.44628099173553715,0.9962732919254659,0.6823529411764706,0.0037267080745341614,0.47754675598953533
original,LR,2500,68,17,1982,433,0.82,0.13572854291417166,0.8,0.23208191126279865,0.820703933747412,0.2,0.17929606625258798,0.28101355440690695
original,GBC,2500,55,30,2408,7,0.9852,0.8870967741935484,0.6470588235294118,0.7482993197278911,0.9971014492753624,0.35294117647058826,0.002898550724637681,0.7506703667942731
original,Traditional Voting,2500,57,28,2401,14,0.9832,0.8028169014084507,0.6705882352941176,0.7307692307692307,0.9942028985507246,0.32941176470588235,0.005797101449275362,0.7252877082815313
original,OR-Logic,2500,82,3,1916,499,0.7992,0.14113597246127366,0.9647058823529412,0.24624624624624628,0.7933747412008282,0.03529411764705882,0.20662525879917185,0.32528038334017706
modified,SVM,2500,80,5,2225,190,0.922,0.2962962962962963,0.9411764705882353,0.45070422535211263,0.9213250517598344,0.058823529411764705,0.07867494824016563,0.5036091209520253
modified,RF,2500,58,27,2410,5,0.9872,0.9206349206349206,0.6823529411764706,0.7837837837837838,0.9979296066252588,0.3176470588235294,0.002070393374741201,0.7866097418061234
modified,KNN,2500,34,51,2406,9,0.976,0.7906976744186046,0.4,0.53125,0.9962732919254659,0.6,0.0037267080745341614,0.5523648408558612
modified,LR,2500,70,15,2065,350,0.854,0.16666666666666666,0.8235294117647058,0.2772277227722772,0.855072463768116,0.17647058823529413,0.14492753623188406,0.3289476387866716
modified,GBC,2500,68,17,2405,10,0.9892,0.8717948717948718,0.8,0.834355828220859,0.9958592132505176,0.2,0.004140786749482402,0.8296022244904018
modified,Traditional Voting,2500,67,18,2399,16,0.9864,0.8072289156626506,0.788235294117647,0.7976190476190476,0.9933747412008281,0.21176470588235294,0.006625258799171843,0.7906436472878531
modified,OR-Logic,2500,81,4,1997,418,0.8312,0.1623246492985972,0.9529411764705882,0.2773972602739726,0.8269151138716356,0.047058823529411764,0.1730848861283644,0.35359718002124835
