feature_set,model_or_ensemble,n_test,TP,FN,TN,FP,accuracy,precision,recall,f1,specificity,fnr,fpr,mcc,auc
hand_engineered_9feat,SVM,2500,27,58,2412,3,0.9756,0.9,0.3176470588235294,0.4695652173913043,0.9987577639751553,0.6823529411764706,0.0012422360248447205,0.5266256655760156,0.9734015345268542
hand_engineered_9feat,RF,2500,66,19,2409,6,0.99,0.9166666666666666,0.7764705882352941,0.8407643312101911,0.9975155279503105,0.2235294117647059,0.002484472049689441,0.8387076635594377,0.9834173669467787
hand_engineered_9feat,KNN,2500,34,51,2406,9,0.976,0.7906976744186046,0.4,0.53125,0.9962732919254659,0.6,0.0037267080745341614,0.5523648408558612,0.89099257094142
hand_engineered_9feat,LR,2500,19,66,2403,12,0.9688,0.6129032258064516,0.2235294117647059,0.32758620689655177,0.9950310559006211,0.7764705882352941,0.004968944099378882,0.3579301231117695,0.9044696139325296
hand_engineered_9feat,GBC,2500,68,17,2405,10,0.9892,0.8717948717948718,0.8,0.834355828220859,0.9958592132505176,0.2,0.004140786749482402,0.8296022244904018,0.9763414931189867
hand_engineered_9feat,Traditional Voting,2500,44,41,2413,2,0.9828,0.9565217391304348,0.5176470588235295,0.6717557251908397,0.9991718426501035,0.4823529411764706,0.0008281573498964803,0.696931708153828,0.8979539641943733
hand_engineered_9feat,OR-Logic,2500,68,17,2387,28,0.982,0.7083333333333334,0.8,0.7513812154696135,0.9884057971014493,0.2,0.011594202898550725,0.743558240690685,0.8979539641943733
auto_polynomial_20feat,SVM,2500,24,61,2411,4,0.974,0.8571428571428571,0.2823529411764706,0.4247787610619469,0.998343685300207,0.7176470588235294,0.0016563146997929607,0.48339480042596344,0.9551528437461941
auto_polynomial_20feat,RF,2500,59,26,2406,9,0.986,0.8676470588235294,0.6941176470588235,0.7712418300653594,0.9962732919254659,0.3058823529411765,0.0037267080745341614,0.7691780310597236,0.9650858604311289
auto_polynomial_20feat,KNN,2500,25,60,2404,11,0.9716,0.6944444444444444,0.29411764705882354,0.4132231404958677,0.9954451345755694,0.7058823529411765,0.004554865424430642,0.4404931591560829,0.8612592863232249
auto_polynomial_20feat,LR,2500,23,62,2404,11,0.9708,0.6764705882352942,0.27058823529411763,0.3865546218487395,0.9954451345755694,0.7294117647058823,0.004554865424430642,0.416263327445682,0.9300012178784557
auto_polynomial_20feat,GBC,2500,63,22,2405,10,0.9872,0.863013698630137,0.7411764705882353,0.7974683544303799,0.9958592132505176,0.25882352941176473,0.004140786749482402,0.7933415987692951,0.9658336378029473
auto_polynomial_20feat,Traditional Voting,2500,31,54,2408,7,0.9756,0.8157894736842105,0.36470588235294116,0.5040650406504065,0.9971014492753624,0.6352941176470588,0.002898550724637681,0.5359318541035527,0.8851053464864206
auto_polynomial_20feat,OR-Logic,2500,66,19,2392,23,0.9832,0.7415730337078652,0.7764705882352941,0.7586206896551726,0.9904761904761905,0.2235294117647059,0.009523809523809525,0.7501353803608385,0.8851053464864206
