strategy,model_or_ensemble,n_test,TP,FN,TN,FP,accuracy,precision,recall,f1,specificity,fnr,mcc
none (locked),SVM,2500,27,58,2412,3,0.9756,0.9,0.3176470588235294,0.4695652173913043,0.9987577639751553,0.6823529411764706,0.5266256655760156
none (locked),RF,2500,66,19,2409,6,0.99,0.9166666666666666,0.7764705882352941,0.8407643312101911,0.9975155279503105,0.2235294117647059,0.8387076635594377
none (locked),KNN,2500,34,51,2406,9,0.976,0.7906976744186046,0.4,0.53125,0.9962732919254659,0.6,0.5523648408558612
none (locked),LR,2500,19,66,2403,12,0.9688,0.6129032258064516,0.2235294117647059,0.32758620689655177,0.9950310559006211,0.7764705882352941,0.3579301231117695
none (locked),GBC,2500,68,17,2405,10,0.9892,0.8717948717948718,0.8,0.834355828220859,0.9958592132505176,0.2,0.8296022244904018
none (locked),Traditional Voting,2500,44,41,2413,2,0.9828,0.9565217391304348,0.5176470588235295,0.6717557251908397,0.9991718426501035,0.4823529411764706,0.696931708153828
none (locked),OR-Logic,2500,68,17,2387,28,0.982,0.7083333333333334,0.8,0.7513812154696135,0.9884057971014493,0.2,0.743558240690685
SMOTE,SVM,2500,80,5,2218,197,0.9192,0.2888086642599278,0.9411764705882353,0.44198895027624313,0.9184265010351967,0.058823529411764705,0.49631376773445474
SMOTE,RF,2500,73,12,2368,47,0.9764,0.6083333333333333,0.8588235294117647,0.7121951219512195,0.9805383022774327,0.1411764705882353,0.7116036147195736
SMOTE,KNN,2500,65,20,2267,148,0.9328,0.3051643192488263,0.7647058823529411,0.43624161073825507,0.9387163561076605,0.23529411764705882,0.456626635412069
SMOTE,LR,2500,69,16,2082,333,0.8604,0.17164179104477612,0.8117647058823529,0.28336755646817247,0.8621118012422361,0.18823529411764706,0.3324547773163589
SMOTE,GBC,2500,77,8,2271,144,0.9392,0.34841628959276016,0.9058823529411765,0.5032679738562091,0.9403726708074535,0.09411764705882353,0.5402577316873464
SMOTE,Traditional Voting,2500,75,10,2286,129,0.9444,0.36764705882352944,0.8823529411764706,0.5190311418685122,0.9465838509316771,0.11764705882352941,0.5487675479537468
SMOTE,OR-Logic,2500,82,3,1969,446,0.8204,0.1553030303030303,0.9647058823529412,0.2675367047308319,0.8153209109730849,0.03529411764705882,0.346343574192426
class_weight=balanced (parked),SVM,2500,80,5,2225,190,0.922,0.2962962962962963,0.9411764705882352,0.4507042253521126,0.9213250517598344,0.0588235294117647,0.5036091209520253
class_weight=balanced (parked),RF,2500,58,27,2410,5,0.9872,0.9206349206349206,0.6823529411764706,0.7837837837837838,0.9979296066252588,0.3176470588235294,0.7866097418061234
class_weight=balanced (parked),KNN,2500,34,51,2406,9,0.976,0.7906976744186046,0.4,0.53125,0.996273291925466,0.6,0.5523648408558612
class_weight=balanced (parked),LR,2500,70,15,2065,350,0.854,0.1666666666666666,0.8235294117647058,0.2772277227722772,0.855072463768116,0.1764705882352941,0.3289476387866716
class_weight=balanced (parked),GBC,2500,68,17,2405,10,0.9892,0.8717948717948718,0.8,0.834355828220859,0.9958592132505176,0.2,0.8296022244904018
class_weight=balanced (parked),Traditional Voting,2500,67,18,2399,16,0.9864,0.8072289156626506,0.788235294117647,0.7976190476190476,0.993374741200828,0.2117647058823529,0.7906436472878531
class_weight=balanced (parked),OR-Logic,2500,81,4,1997,418,0.8312,0.1623246492985972,0.9529411764705882,0.2773972602739726,0.8269151138716356,0.0470588235294117,0.3535971800212483
RandomUnderSampler,SVM,2500,77,8,2077,338,0.8616,0.1855421686746988,0.9058823529411765,0.308,0.8600414078674948,0.09411764705882353,0.3730581180129719
RandomUnderSampler,RF,2500,80,5,2206,209,0.9144,0.2768166089965398,0.9411764705882353,0.4278074866310161,0.9134575569358178,0.058823529411764705,0.4844008740731752
RandomUnderSampler,KNN,2500,78,7,2055,360,0.8532,0.1780821917808219,0.9176470588235294,0.29827915869980876,0.8509316770186336,0.08235294117647059,0.3664164893487647
RandomUnderSampler,LR,2500,72,13,1996,419,0.8272,0.14663951120162932,0.8470588235294118,0.25,0.8265010351966874,0.15294117647058825,0.30726529698720617
RandomUnderSampler,GBC,2500,79,6,2225,190,0.9216,0.2936802973977695,0.9294117647058824,0.4463276836158192,0.9213250517598344,0.07058823529411765,0.49755069015408127
RandomUnderSampler,Traditional Voting,2500,77,8,2128,287,0.882,0.21153846153846154,0.9058823529411765,0.3429844097995545,0.881159420289855,0.09411764705882353,0.4044031205105559
RandomUnderSampler,OR-Logic,2500,83,2,1819,596,0.7608,0.12223858615611193,0.9764705882352941,0.21727748691099477,0.7532091097308489,0.023529411764705882,0.29731062735285074
