feature_set,model_or_ensemble,n_test,TP,FN,TN,FP,accuracy,precision,recall,f1,specificity,fnr,fpr,mcc,seed
modified,MLP,2500,31,54,2406,9,0.9748,0.775,0.36470588235294116,0.49600000000000005,0.9962732919254659,0.6352941176470588,0.0037267080745341614,0.5213779118565046,1
modified,MLP,2500,47,38,2403,12,0.98,0.7966101694915254,0.5529411764705883,0.6527777777777778,0.9950310559006211,0.4470588235294118,0.004968944099378882,0.6542092595100238,2
modified,MLP,2500,61,24,2401,14,0.9848,0.8133333333333334,0.7176470588235294,0.7625,0.9942028985507246,0.2823529411764706,0.005797101449275362,0.7562580152859171,3
modified,MLP,2500,25,60,2404,11,0.9716,0.6944444444444444,0.29411764705882354,0.4132231404958677,0.9954451345755694,0.7058823529411765,0.004554865424430642,0.4404931591560829,4
modified,MLP,2500,48,37,2408,7,0.9824,0.8727272727272727,0.5647058823529412,0.6857142857142856,0.9971014492753624,0.43529411764705883,0.002898550724637681,0.6941201570978642,5
modified,MLP,2500,47,38,2404,11,0.9804,0.8103448275862069,0.5529411764705883,0.6573426573426574,0.9954451345755694,0.4470588235294118,0.004554865424430642,0.6601882782628736,6
modified,MLP,2500,36,49,2407,8,0.9772,0.8181818181818182,0.4235294117647059,0.558139534883721,0.9966873706004141,0.5764705882352941,0.0033126293995859213,0.5791631265397646,7
modified,MLP,2500,25,60,2409,6,0.9736,0.8064516129032258,0.29411764705882354,0.43103448275862066,0.9975155279503105,0.7058823529411765,0.002484472049689441,0.47759917129357143,8
modified,MLP,2500,43,42,2401,14,0.9776,0.7543859649122807,0.5058823529411764,0.6056338028169014,0.9942028985507246,0.49411764705882355,0.005797101449275362,0.6071736496297759,9
modified,MLP,2500,57,28,2395,20,0.9808,0.7402597402597403,0.6705882352941176,0.7037037037037037,0.9917184265010351,0.32941176470588235,0.008281573498964804,0.6947124534922984,10
modified,MLP,2500,46,39,2400,15,0.9784,0.7540983606557377,0.5411764705882353,0.6301369863013699,0.9937888198757764,0.4588235294117647,0.006211180124223602,0.6283806712577232,11
modified,MLP,2500,38,47,2406,9,0.9776,0.8085106382978723,0.4470588235294118,0.5757575757575757,0.9962732919254659,0.5529411764705883,0.0037267080745341614,0.5915609810766356,12
modified,MLP,2500,36,49,2403,12,0.9756,0.75,0.4235294117647059,0.5413533834586466,0.9950310559006211,0.5764705882352941,0.004968944099378882,0.5527711727849467,13
modified,MLP,2500,43,42,2396,19,0.9756,0.6935483870967742,0.5058823529411764,0.5850340136054423,0.9921325051759834,0.49411764705882355,0.007867494824016562,0.5803602177824891,14
modified,MLP,2500,51,34,2403,12,0.9816,0.8095238095238095,0.6,0.6891891891891893,0.9950310559006211,0.4,0.004968944099378882,0.6880335630556694,15
modified,MLP,2500,47,38,2409,6,0.9824,0.8867924528301887,0.5529411764705883,0.6811594202898551,0.9975155279503105,0.4470588235294118,0.002484472049689441,0.6925263086181197,16
modified,MLP,2500,45,40,2404,11,0.9796,0.8035714285714286,0.5294117647058824,0.6382978723404256,0.9954451345755694,0.47058823529411764,0.004554865424430642,0.6427829175286872,17
modified,MLP,2500,37,48,2399,16,0.9744,0.6981132075471698,0.43529411764705883,0.5362318840579711,0.9933747412008281,0.5647058823529412,0.006625258799171843,0.539305743854608,18
modified,MLP,2500,45,40,2399,16,0.9776,0.7377049180327869,0.5294117647058824,0.6164383561643836,0.9933747412008281,0.47058823529411764,0.006625258799171843,0.614075233219711,19
modified,MLP,2500,7,78,2412,3,0.9676,0.7,0.08235294117647059,0.14736842105263157,0.9987577639751553,0.9176470588235294,0.0012422360248447205,0.23288769039244675,20
modified,MLP,2500,54,31,2390,25,0.9776,0.6835443037974683,0.6352941176470588,0.6585365853658536,0.989648033126294,0.36470588235294116,0.010351966873706004,0.6474360947109629,21
modified,MLP,2500,33,52,2406,9,0.9756,0.7857142857142857,0.38823529411764707,0.5196850393700788,0.9962732919254659,0.611764705882353,0.0037267080745341614,0.5421987199360896,22
modified,MLP,2500,47,38,2394,21,0.9764,0.6911764705882353,0.5529411764705883,0.6143790849673203,0.991304347826087,0.4470588235294118,0.008695652173913044,0.6063545697854383,23
modified,MLP,2500,40,45,2398,17,0.9752,0.7017543859649122,0.47058823529411764,0.5633802816901408,0.9929606625258799,0.5294117647058824,0.007039337474120083,0.5628133907800041,24
modified,MLP,2500,44,41,2409,6,0.9812,0.88,0.5176470588235295,0.6518518518518519,0.9975155279503105,0.4823529411764706,0.002484472049689441,0.6668747919768384,25
modified,MLP,2500,46,39,2404,11,0.98,0.8070175438596491,0.5411764705882353,0.6478873239436619,0.9954451345755694,0.4588235294117647,0.004554865424430642,0.6515339084795477,26
modified,MLP,2500,46,39,2406,9,0.9808,0.8363636363636363,0.5411764705882353,0.6571428571428571,0.9962732919254659,0.4588235294117647,0.0037267080745341614,0.6640260683444342,27
modified,MLP,2500,32,53,2407,8,0.9756,0.8,0.3764705882352941,0.512,0.9966873706004141,0.6235294117647059,0.0033126293995859213,0.5389682597598955,28
modified,MLP,2500,31,54,2407,8,0.9752,0.7948717948717948,0.36470588235294116,0.5,0.9966873706004141,0.6352941176470588,0.0033126293995859213,0.5285182158633381,29
modified,MLP,2500,39,46,2404,11,0.9772,0.78,0.4588235294117647,0.5777777777777778,0.9954451345755694,0.5411764705882353,0.004554865424430642,0.5880479844145644,30
