feature_set,model_or_ensemble,n_test,TP,FN,TN,FP,accuracy,precision,recall,f1,specificity,fnr,fpr,mcc,seed
modified,SVM,2500,29,56,2409,6,0.9752,0.8285714285714286,0.3411764705882353,0.4833333333333334,0.9975155279503105,0.6588235294117647,0.002484472049689441,0.5224328573031599,1
modified,RF,2500,59,26,2408,7,0.9868,0.8939393939393939,0.6941176470588235,0.7814569536423842,0.9971014492753624,0.3058823529411765,0.002898550724637681,0.7813605916997975,1
modified,KNN,2500,32,53,2409,6,0.9764,0.8421052631578947,0.3764705882352941,0.5203252032520325,0.9975155279503105,0.6235294117647059,0.002484472049689441,0.5539718384210278,1
modified,LR,2500,14,71,2406,9,0.968,0.6086956521739131,0.16470588235294117,0.25925925925925924,0.9962732919254659,0.8352941176470589,0.0037267080745341614,0.3055700635446909,1
modified,GBC,2500,60,25,2411,4,0.9884,0.9375,0.7058823529411765,0.8053691275167786,0.998343685300207,0.29411764705882354,0.0016563146997929607,0.8080746451496379,1
modified,Traditional Voting,2500,39,46,2412,3,0.9804,0.9285714285714286,0.4588235294117647,0.6141732283464567,0.9987577639751553,0.5411764705882353,0.0012422360248447205,0.6452391456175965,1
modified,OR-Logic,2500,64,21,2397,18,0.9844,0.7804878048780488,0.7529411764705882,0.7664670658682634,0.9925465838509316,0.24705882352941178,0.007453416149068323,0.7585312427052094,1
modified,SVM,2500,36,49,2411,4,0.9788,0.9,0.4235294117647059,0.576,0.998343685300207,0.5764705882352941,0.0016563146997929607,0.6093296513734588,2
modified,RF,2500,63,22,2407,8,0.988,0.8873239436619719,0.7411764705882353,0.8076923076923077,0.9966873706004141,0.25882352941176473,0.0033126293995859213,0.8050100958843817,2
modified,KNN,2500,37,48,2405,10,0.9768,0.7872340425531915,0.43529411764705883,0.5606060606060607,0.9958592132505176,0.5647058823529412,0.004140786749482402,0.5753101986724645,2
modified,LR,2500,27,58,2409,6,0.9744,0.8181818181818182,0.3176470588235294,0.4576271186440678,0.9975155279503105,0.6823529411764706,0.002484472049689441,0.5004505168553929,2
modified,GBC,2500,64,21,2405,10,0.9876,0.8648648648648649,0.7529411764705882,0.8050314465408804,0.9958592132505176,0.24705882352941178,0.004140786749482402,0.8007055412474695,2
modified,Traditional Voting,2500,48,37,2412,3,0.984,0.9411764705882353,0.5647058823529412,0.7058823529411765,0.9987577639751553,0.43529411764705883,0.0012422360248447205,0.7223612671696636,2
modified,OR-Logic,2500,66,19,2389,26,0.982,0.717391304347826,0.7764705882352941,0.7457627118644068,0.9892339544513458,0.2235294117647059,0.010766045548654244,0.737067223498404,2
modified,SVM,2500,23,62,2410,5,0.9732,0.8214285714285714,0.27058823529411763,0.40707964601769914,0.9979296066252588,0.7294117647058823,0.002070393374741201,0.462421405752848,3
modified,RF,2500,65,20,2412,3,0.9908,0.9558823529411765,0.7647058823529411,0.849673202614379,0.9987577639751553,0.23529411764705882,0.0012422360248447205,0.8505897616968663,3
modified,KNN,2500,27,58,2408,7,0.974,0.7941176470588235,0.3176470588235294,0.45378151260504196,0.9971014492753624,0.6823529411764706,0.002898550724637681,0.4924880715302236,3
modified,LR,2500,14,71,2410,5,0.9696,0.7368421052631579,0.16470588235294117,0.2692307692307692,0.9979296066252588,0.8352941176470589,0.002070393374741201,0.33938540942493867,3
modified,GBC,2500,65,20,2411,4,0.9904,0.9420289855072463,0.7647058823529411,0.8441558441558441,0.998343685300207,0.23529411764705882,0.0016563146997929607,0.8441191563707265,3
modified,Traditional Voting,2500,34,51,2411,4,0.978,0.8947368421052632,0.4,0.5528455284552846,0.998343685300207,0.6,0.0016563146997929607,0.5900518070559783,3
modified,OR-Logic,2500,68,17,2403,12,0.9884,0.85,0.8,0.8242424242424243,0.9950310559006211,0.2,0.004968944099378882,0.8186522269012898,3
modified,SVM,2500,23,62,2414,1,0.9748,0.9583333333333334,0.27058823529411763,0.4220183486238531,0.9995859213250518,0.7294117647058823,0.00041407867494824016,0.5021470247438757,4
modified,RF,2500,54,31,2410,5,0.9856,0.9152542372881356,0.6352941176470588,0.75,0.9979296066252588,0.36470588235294116,0.002070393374741201,0.7559887149167485,4
modified,KNN,2500,29,56,2404,11,0.9732,0.725,0.3411764705882353,0.46399999999999997,0.9954451345755694,0.6588235294117647,0.004554865424430642,0.48619721604972294,4
modified,LR,2500,20,65,2413,2,0.9732,0.9090909090909091,0.23529411764705882,0.3738317757009346,0.9991718426501035,0.7647058823529411,0.0008281573498964803,0.45497322552389896,4
modified,GBC,2500,54,31,2409,6,0.9852,0.9,0.6352941176470588,0.7448275862068966,0.9975155279503105,0.36470588235294116,0.002484472049689441,0.7493256210486606,4
modified,Traditional Voting,2500,33,52,2414,1,0.9788,0.9705882352941176,0.38823529411764707,0.5546218487394958,0.9995859213250518,0.611764705882353,0.00041407867494824016,0.6068251876570361,4
modified,OR-Logic,2500,60,25,2397,18,0.9828,0.7692307692307693,0.7058823529411765,0.736196319018405,0.9925465838509316,0.29411764705882354,0.007453416149068323,0.7280410780754661,4
modified,SVM,2500,30,55,2412,3,0.9768,0.9090909090909091,0.35294117647058826,0.5084745762711865,0.9987577639751553,0.6470588235294118,0.0012422360248447205,0.5584670386332032,5
modified,RF,2500,60,25,2407,8,0.9868,0.8823529411764706,0.7058823529411765,0.784313725490196,0.9966873706004141,0.29411764705882354,0.0033126293995859213,0.7827466528325807,5
modified,KNN,2500,31,54,2408,7,0.9756,0.8157894736842105,0.36470588235294116,0.5040650406504065,0.9971014492753624,0.6352941176470588,0.002898550724637681,0.5359318541035527,5
modified,LR,2500,25,60,2409,6,0.9736,0.8064516129032258,0.29411764705882354,0.43103448275862066,0.9975155279503105,0.7058823529411765,0.002484472049689441,0.47759917129357143,5
modified,GBC,2500,60,25,2405,10,0.986,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.9958592132505176,0.29411764705882354,0.004140786749482402,0.7708911775233038,5
modified,Traditional Voting,2500,38,47,2411,4,0.9796,0.9047619047619048,0.4470588235294118,0.5984251968503936,0.998343685300207,0.5529411764705883,0.0016563146997929607,0.6280657413373454,5
modified,OR-Logic,2500,63,22,2396,19,0.9836,0.7682926829268293,0.7411764705882353,0.7544910179640718,0.9921325051759834,0.25882352941176473,0.007867494824016562,0.7461393711325569,5
modified,SVM,2500,21,64,2413,2,0.9736,0.9130434782608695,0.24705882352941178,0.3888888888888889,0.9991718426501035,0.7529411764705882,0.0008281573498964803,0.467394125037567,6
modified,RF,2500,61,24,2411,4,0.9888,0.9384615384615385,0.7176470588235294,0.8133333333333334,0.998343685300207,0.2823529411764706,0.0016563146997929607,0.8153973156038846,6
modified,KNN,2500,28,57,2410,5,0.9752,0.8484848484848485,0.32941176470588235,0.47457627118644063,0.9979296066252588,0.6705882352941176,0.002070393374741201,0.5197893574479964,6
modified,LR,2500,17,68,2406,9,0.9692,0.6538461538461539,0.2,0.3063063063063063,0.9962732919254659,0.8,0.0037267080745341614,0.35062486820538763,6
modified,GBC,2500,61,24,2410,5,0.9884,0.9242424242424242,0.7176470588235294,0.8079470198675496,0.9979296066252588,0.2823529411764706,0.002070393374741201,0.8088946177657571,6
modified,Traditional Voting,2500,31,54,2414,1,0.978,0.96875,0.36470588235294116,0.5299145299145298,0.9995859213250518,0.6352941176470588,0.00041407867494824016,0.5873133376074551,6
modified,OR-Logic,2500,64,21,2396,19,0.984,0.7710843373493976,0.7529411764705882,0.761904761904762,0.9921325051759834,0.24705882352941178,0.007867494824016562,0.7536850175103038,6
modified,SVM,2500,25,60,2412,3,0.9748,0.8928571428571429,0.29411764705882354,0.4424778761061947,0.9987577639751553,0.7058823529411765,0.0012422360248447205,0.5043681950990788,7
modified,RF,2500,53,32,2410,5,0.9852,0.9137931034482759,0.6235294117647059,0.7412587412587414,0.9979296066252588,0.3764705882352941,0.002070393374741201,0.7481586449142292,7
modified,KNN,2500,29,56,2403,12,0.9728,0.7073170731707317,0.3411764705882353,0.46031746031746035,0.9950310559006211,0.6588235294117647,0.004968944099378882,0.4797381645231582,7
modified,LR,2500,19,66,2410,5,0.9716,0.7916666666666666,0.2235294117647059,0.3486238532110092,0.9979296066252588,0.7764705882352941,0.002070393374741201,0.4116048277110817,7
modified,GBC,2500,57,28,2409,6,0.9864,0.9047619047619048,0.6705882352941176,0.7702702702702703,0.9975155279503105,0.32941176470588235,0.002484472049689441,0.7725274305560585,7
modified,Traditional Voting,2500,34,51,2413,2,0.9788,0.9444444444444444,0.4,0.5619834710743801,0.9991718426501035,0.6,0.0008281573498964803,0.607234344906619,7
modified,OR-Logic,2500,59,26,2395,20,0.9816,0.7468354430379747,0.6941176470588235,0.7195121951219512,0.9917184265010351,0.3058823529411765,0.008281573498964804,0.7105218115436949,7
modified,SVM,2500,27,58,2412,3,0.9756,0.9,0.3176470588235294,0.4695652173913043,0.9987577639751553,0.6823529411764706,0.0012422360248447205,0.5266256655760156,8
modified,RF,2500,61,24,2412,3,0.9892,0.953125,0.7176470588235294,0.8187919463087248,0.9987577639751553,0.2823529411764706,0.0012422360248447205,0.8220493726875051,8
modified,KNN,2500,31,54,2404,11,0.974,0.7380952380952381,0.36470588235294116,0.4881889763779527,0.9954451345755694,0.6352941176470588,0.004554865424430642,0.5078519113755873,8
modified,LR,2500,12,73,2406,9,0.9672,0.5714285714285714,0.1411764705882353,0.22641509433962265,0.9962732919254659,0.8588235294117647,0.0037267080745341614,0.2729380682487687,8
modified,GBC,2500,62,23,2412,3,0.9896,0.9538461538461539,0.7294117647058823,0.8266666666666667,0.9987577639751553,0.27058823529411763,0.0012422360248447205,0.8292669756753914,8
modified,Traditional Voting,2500,38,47,2414,1,0.9808,0.9743589743589743,0.4470588235294118,0.6129032258064516,0.9995859213250518,0.5529411764705883,0.00041407867494824016,0.6531939424604726,8
modified,OR-Logic,2500,62,23,2393,22,0.982,0.7380952380952381,0.7294117647058823,0.7337278106508874,0.9908902691511388,0.27058823529411763,0.009109730848861283,0.7244268915647087,8
modified,SVM,2500,30,55,2412,3,0.9768,0.9090909090909091,0.35294117647058826,0.5084745762711865,0.9987577639751553,0.6470588235294118,0.0012422360248447205,0.5584670386332032,9
modified,RF,2500,60,25,2408,7,0.9872,0.8955223880597015,0.7058823529411765,0.7894736842105264,0.9971014492753624,0.29411764705882354,0.002898550724637681,0.78886900528143,9
modified,KNN,2500,27,58,2405,10,0.9728,0.7297297297297297,0.3176470588235294,0.4426229508196722,0.9958592132505176,0.6823529411764706,0.004140786749482402,0.47052336719550003,9
modified,LR,2500,20,65,2408,7,0.9712,0.7407407407407407,0.23529411764705882,0.3571428571428571,0.9971014492753624,0.7647058823529411,0.002898550724637681,0.40747590174766296,9
modified,GBC,2500,61,24,2403,12,0.9856,0.8356164383561644,0.7176470588235294,0.7721518987341772,0.9950310559006211,0.2823529411764706,0.004968944099378882,0.7671232307211344,9
modified,Traditional Voting,2500,37,48,2411,4,0.9792,0.9024390243902439,0.43529411764705883,0.5873015873015872,0.998343685300207,0.5647058823529412,0.0016563146997929607,0.6187624822868787,9
modified,OR-Logic,2500,62,23,2389,26,0.9804,0.7045454545454546,0.7294117647058823,0.7167630057803468,0.9892339544513458,0.27058823529411763,0.010766045548654244,0.7067289559470107,9
modified,SVM,2500,27,58,2412,3,0.9756,0.9,0.3176470588235294,0.4695652173913043,0.9987577639751553,0.6823529411764706,0.0012422360248447205,0.5266256655760156,10
modified,RF,2500,60,25,2410,5,0.988,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.9979296066252588,0.29411764705882354,0.002070393374741201,0.8015276555323778,10
modified,KNN,2500,36,49,2411,4,0.9788,0.9,0.4235294117647059,0.576,0.998343685300207,0.5764705882352941,0.0016563146997929607,0.6093296513734588,10
modified,LR,2500,21,64,2409,6,0.972,0.7777777777777778,0.24705882352941178,0.37500000000000006,0.9975155279503105,0.7529411764705882,0.002484472049689441,0.4288298427259495,10
modified,GBC,2500,59,26,2408,7,0.9868,0.8939393939393939,0.6941176470588235,0.7814569536423842,0.9971014492753624,0.3058823529411765,0.002898550724637681,0.7813605916997975,10
modified,Traditional Voting,2500,42,43,2412,3,0.9816,0.9333333333333333,0.49411764705882355,0.6461538461538462,0.9987577639751553,0.5058823529411764,0.0012422360248447205,0.6718513242961404,10
modified,OR-Logic,2500,64,21,2400,15,0.9856,0.810126582278481,0.7529411764705882,0.7804878048780488,0.9937888198757764,0.24705882352941178,0.006211180124223602,0.773607528376427,10
modified,SVM,2500,31,54,2410,5,0.9764,0.8611111111111112,0.36470588235294116,0.512396694214876,0.9979296066252588,0.6352941176470588,0.002070393374741201,0.5516539496564403,11
modified,RF,2500,67,18,2409,6,0.9904,0.9178082191780822,0.788235294117647,0.8481012658227848,0.9975155279503105,0.21176470588235294,0.002484472049689441,0.8457783348656165,11
modified,KNN,2500,26,59,2408,7,0.9736,0.7878787878787878,0.3058823529411765,0.4406779661016949,0.9971014492753624,0.6941176470588235,0.002898550724637681,0.4811116762627894,11
modified,LR,2500,20,65,2405,10,0.97,0.6666666666666666,0.23529411764705882,0.3478260869565218,0.9958592132505176,0.7647058823529411,0.004140786749482402,0.3847326840890215,11
modified,GBC,2500,67,18,2406,9,0.9892,0.881578947368421,0.788235294117647,0.8322981366459626,0.9962732919254659,0.21176470588235294,0.0037267080745341614,0.8281187684614598,11
modified,Traditional Voting,2500,38,47,2412,3,0.98,0.926829268292683,0.4470588235294118,0.6031746031746031,0.9987577639751553,0.5529411764705883,0.0012422360248447205,0.6361405220073437,11
modified,OR-Logic,2500,68,17,2391,24,0.9836,0.7391304347826086,0.8,0.768361581920904,0.9900621118012423,0.2,0.009937888198757764,0.7605138205049699,11
modified,SVM,2500,31,54,2410,5,0.9764,0.8611111111111112,0.36470588235294116,0.512396694214876,0.9979296066252588,0.6352941176470588,0.002070393374741201,0.5516539496564403,12
modified,RF,2500,62,23,2409,6,0.9884,0.9117647058823529,0.7294117647058823,0.8104575163398693,0.9975155279503105,0.27058823529411763,0.002484472049689441,0.8098838963782949,12
modified,KNN,2500,32,53,2409,6,0.9764,0.8421052631578947,0.3764705882352941,0.5203252032520325,0.9975155279503105,0.6235294117647059,0.002484472049689441,0.5539718384210278,12
modified,LR,2500,25,60,2406,9,0.9724,0.7352941176470589,0.29411764705882354,0.4201680672268907,0.9962732919254659,0.7058823529411765,0.0037267080745341614,0.4543756994879528,12
modified,GBC,2500,61,24,2410,5,0.9884,0.9242424242424242,0.7176470588235294,0.8079470198675496,0.9979296066252588,0.2823529411764706,0.002070393374741201,0.8088946177657571,12
modified,Traditional Voting,2500,43,42,2414,1,0.9828,0.9772727272727273,0.5058823529411764,0.6666666666666666,0.9995859213250518,0.49411764705882355,0.00041407867494824016,0.6966608626219103,12
modified,OR-Logic,2500,63,22,2393,22,0.9824,0.7411764705882353,0.7411764705882353,0.7411764705882353,0.9908902691511388,0.25882352941176473,0.009109730848861283,0.732066739739374,12
modified,SVM,2500,28,57,2408,7,0.9744,0.8,0.32941176470588235,0.46666666666666673,0.9971014492753624,0.6705882352941176,0.002898550724637681,0.5036470659582063,13
modified,RF,2500,69,16,2405,10,0.9896,0.8734177215189873,0.8117647058823529,0.8414634146341463,0.9958592132505176,0.18823529411764706,0.004140786749482402,0.8366932452091591,13
modified,KNN,2500,31,54,2406,9,0.9748,0.775,0.36470588235294116,0.49600000000000005,0.9962732919254659,0.6352941176470588,0.0037267080745341614,0.5213779118565046,13
