model_or_ensemble,metric,n_seeds,mean,std,ci_low,ci_high
SVM,accuracy,30,0.9758133333333332,0.0016533629956553147,0.97298,0.9788
SVM,precision,30,0.8730119166250643,0.04450966710608704,0.7960714285714287,0.960308908045977
SVM,recall,30,0.33882352941176475,0.0521028967354804,0.24705882352941178,0.4235294117647059
SVM,f1,30,0.4856917428442364,0.054977989465167944,0.38790774719673804,0.5726857142857144
SVM,specificity,30,0.9982332643202209,0.0007125185377260022,0.9971014492753624,0.9995859213250518
SVM,fnr,30,0.6611764705882356,0.052102896735480415,0.5764705882352941,0.7529411764705882
SVM,mcc,30,0.5336512969277929,0.04452823625142189,0.4526332495618485,0.607810554185
RF,accuracy,30,0.9884266666666666,0.0016305136346083306,0.98549,0.99091
RF,precision,30,0.9071246237260762,0.027197423839086698,0.8571428571428571,0.9558823529411765
RF,recall,30,0.7356862745098042,0.046828374211252945,0.6320588235294118,0.803235294117647
RF,f1,30,0.8114652120733313,0.030686083725456063,0.7475961538461539,0.8563437348814706
RF,specificity,30,0.9973222912353349,0.0008883217036505815,0.9957453416149069,0.9987577639751553
RF,fnr,30,0.26431372549019605,0.04682837421125295,0.19676470588235295,0.3679411764705882
RF,mcc,30,0.8107940840085519,0.02931812791614818,0.7538354456660556,0.8542717369692704
KNN,accuracy,30,0.9750266666666666,0.0018001787906096738,0.97218,0.97891
KNN,precision,30,0.7817307924609345,0.0563483741127691,0.6887531328320802,0.8855
KNN,recall,30,0.3705882352941178,0.046931877456421196,0.29294117647058826,0.44499999999999995
KNN,f1,30,0.5008903529902542,0.04756372808004902,0.41650406504065046,0.5842666666666666
KNN,specificity,30,0.9963008971704624,0.0011607114420007266,0.9945031055900622,0.9984575569358177
KNN,fnr,30,0.6294117647058824,0.0469318774564212,0.555,0.7070588235294117
KNN,mcc,30,0.5268823207040741,0.042839971507992305,0.46272023131171913,0.6133811973641266
LR,accuracy,30,0.9709333333333334,0.0019149742653053184,0.96778,0.97411
LR,precision,30,0.7184034439533351,0.08335946496487937,0.5984472049689441,0.8541666666666666
LR,recall,30,0.2392156862745098,0.047193856299162,0.15823529411764706,0.3091176470588235
LR,f1,30,0.35698549582881617,0.05929257760834066,0.2502271139063592,0.4453389830508474
LR,specificity,30,0.9966873706004141,0.001135303855608416,0.9949171842650104,0.9985714285714286
LR,fnr,30,0.7607843137254904,0.04719385629916199,0.6908823529411765,0.841764705882353
LR,mcc,30,0.40266943929189075,0.05768305166592482,0.2965962648383123,0.4900353820841099
GBC,accuracy,30,0.9880533333333335,0.00158521908272323,0.9852,0.99051
GBC,precision,30,0.8931725176873907,0.03780044482067475,0.8314629434492449,0.9544061085972851
GBC,recall,30,0.7388235294117649,0.04373669194359802,0.6608823529411765,0.826764705882353
GBC,f1,30,0.8074944208458967,0.027806823118833673,0.7545007888212757,0.8464577497665733
GBC,specificity,30,0.9968253968253968,0.0013109359732950785,0.9945031055900622,0.9987577639751553
GBC,fnr,30,0.2611764705882353,0.04373669194359802,0.17323529411764707,0.33911764705882347
GBC,mcc,30,0.8058671370902398,0.02759410793669071,0.7538813675213599,0.8458985728354149
Traditional Voting,accuracy,30,0.9806933333333332,0.0017480892688744583,0.978,0.984
Traditional Voting,precision,30,0.9295626318408909,0.03563243865643655,0.8716299019607844,0.9775444664031621
Traditional Voting,recall,30,0.46862745098039216,0.05343098485694681,0.38176470588235295,0.5679411764705882
Traditional Voting,f1,30,0.6210421686999333,0.04731732285280447,0.546539503856577,0.7070545609548167
Traditional Voting,specificity,30,0.9987163561076605,0.0007159676746306749,0.9974016563146998,0.9995859213250518
Traditional Voting,fnr,30,0.5313725490196078,0.05343098485694682,0.4320588235294118,0.618235294117647
Traditional Voting,mcc,30,0.6513727761033935,0.0388476749455462,0.5892987279576344,0.7225837846299822
OR-Logic,accuracy,30,0.9832533333333334,0.0019045740465654143,0.98007,0.98666
OR-Logic,precision,30,0.7449333163055759,0.03899854620828543,0.685020439448135,0.8210917721518987
OR-Logic,recall,30,0.7764705882352942,0.042474470669245805,0.7026470588235294,0.8385294117647059
OR-Logic,f1,30,0.7591671846245298,0.026215801020909098,0.7128070175438597,0.8032748538011696
OR-Logic,specificity,30,0.9905314009661836,0.0020394150867247243,0.9870496894409938,0.9941304347826087
OR-Logic,fnr,30,0.22352941176470592,0.0424744706692458,0.16147058823529412,0.2973529411764706
OR-Logic,mcc,30,0.7513254364610323,0.027271448128854903,0.7028232804492207,0.7964934986408568
