feature_set,model_or_ensemble,n_test,TP,FN,TN,FP,accuracy,precision,recall,f1,specificity,fnr,fpr,mcc
original,SVM,2500,19,66,2411,4,0.972,0.8260869565217391,0.2235294117647059,0.35185185185185186,0.998343685300207,0.7764705882352941,0.0016563146997929607,0.42115867889674524
original,RF,2500,54,31,2406,9,0.984,0.8571428571428571,0.6352941176470588,0.7297297297297296,0.9962732919254659,0.36470588235294116,0.0037267080745341614,0.7302804968058639
original,KNN,2500,27,58,2406,9,0.9732,0.75,0.3176470588235294,0.44628099173553715,0.9962732919254659,0.6823529411764706,0.0037267080745341614,0.47754675598953533
original,LR,2500,14,71,2410,5,0.9696,0.7368421052631579,0.16470588235294117,0.2692307692307692,0.9979296066252588,0.8352941176470589,0.002070393374741201,0.33938540942493867
original,GBC,2500,55,30,2408,7,0.9852,0.8870967741935484,0.6470588235294118,0.7482993197278911,0.9971014492753624,0.35294117647058826,0.002898550724637681,0.7506703667942731
original,Traditional Voting,2500,28,57,2410,5,0.9752,0.8484848484848485,0.32941176470588235,0.47457627118644063,0.9979296066252588,0.6705882352941176,0.002070393374741201,0.5197893574479964
original,OR-Logic,2500,61,24,2395,20,0.9824,0.7530864197530864,0.7176470588235294,0.7349397590361447,0.9917184265010351,0.2823529411764706,0.008281573498964804,0.7260685751319798
modified,SVM,2500,27,58,2412,3,0.9756,0.9,0.3176470588235294,0.4695652173913043,0.9987577639751553,0.6823529411764706,0.0012422360248447205,0.5266256655760156
modified,RF,2500,66,19,2409,6,0.99,0.9166666666666666,0.7764705882352941,0.8407643312101911,0.9975155279503105,0.2235294117647059,0.002484472049689441,0.8387076635594377
modified,KNN,2500,34,51,2406,9,0.976,0.7906976744186046,0.4,0.53125,0.9962732919254659,0.6,0.0037267080745341614,0.5523648408558612
modified,LR,2500,19,66,2403,12,0.9688,0.6129032258064516,0.2235294117647059,0.32758620689655177,0.9950310559006211,0.7764705882352941,0.004968944099378882,0.3579301231117695
modified,GBC,2500,68,17,2405,10,0.9892,0.8717948717948718,0.8,0.834355828220859,0.9958592132505176,0.2,0.004140786749482402,0.8296022244904018
modified,Traditional Voting,2500,44,41,2413,2,0.9828,0.9565217391304348,0.5176470588235295,0.6717557251908397,0.9991718426501035,0.4823529411764706,0.0008281573498964803,0.696931708153828
modified,OR-Logic,2500,68,17,2387,28,0.982,0.7083333333333334,0.8,0.7513812154696135,0.9884057971014493,0.2,0.011594202898550725,0.743558240690685
