feature_set,model,n_test,TN,FP,FN,TP,accuracy,precision_pos,recall_pos_TPR,f1_pos,specificity_TNR,false_negative_rate,mcc,notes
original,SVM,2500,2417,0,78,5,0.9688,1.0,0.060240963855421686,0.11363636363636363,1.0,0.9397590361445783,0.24157334127309948,
original,RF,2500,2412,5,30,53,0.986,0.9137931034482759,0.6385542168674698,0.75177304964539,0.9979313198179561,0.3614457831325301,0.7574938027669295,
original,KNN,2500,2417,0,69,14,0.9724,1.0,0.1686746987951807,0.28865979381443296,1.0,0.8313253012048193,0.404960565895981,
original,LR,2500,2413,4,67,16,0.9716,0.8,0.1927710843373494,0.3106796116504854,0.998345055854365,0.8072289156626506,0.38435620698748313,
original,GBM,2500,2414,3,26,57,0.9884,0.95,0.6867469879518072,0.7972027972027972,0.9987587918907737,0.3132530120481928,0.8024499492586712,
modified,SVM,2500,2417,0,81,2,0.9676,1.0,0.024096385542168676,0.047058823529411764,1.0,0.9759036144578314,0.1526926244853577,
modified,RF,2500,2414,3,17,66,0.992,0.9565217391304348,0.7951807228915663,0.868421052631579,0.9987587918907737,0.20481927710843373,0.8682559420269348,
modified,KNN,2500,2416,1,57,26,0.9768,0.9629629629629629,0.3132530120481928,0.4727272727272727,0.9995862639635912,0.6867469879518072,0.5422564209647885,
modified,LR,2500,2411,6,64,19,0.972,0.76,0.2289156626506024,0.35185185185185186,0.9975175837815474,0.7710843373493976,0.40771806894511037,
modified,GBM,2500,2414,3,20,63,0.9908,0.9545454545454546,0.7590361445783133,0.8456375838926175,0.9987587918907737,0.24096385542168675,0.8468311322271976,
modified,Traditional Voting (VotingClassifier),2500,2417,0,49,34,0.9804,1.0,0.40963855421686746,0.5811965811965812,1.0,0.5903614457831325,0.6336394399010544,
modified,OR-Logic (sum of 5 models > 0),2500,2407,10,16,67,0.9896,0.8701298701298701,0.8072289156626506,0.8375,0.9958626396359123,0.1927710843373494,0.8327609672644842,
modified,Stage-2 'ColumnFailure0' ensemble (sum_excluding_real2),2500,2407,10,16,67,0.9896,0.8701298701298701,0.8072289156626506,0.8375,0.9958626396359123,0.1927710843373494,0.8327609672644842,"BUG: E_col is a stale copy of the stage-1 OR-logic column, not a model trained on ColumnFailure0. Because E_col == sum_excluding_real for every row, sum_excluding_real2>0 is mathematically identical to sum_excluding_real>0 -- these predictions are IDENTICAL to the OR-Logic row above, so this row's numbers are not evidence of any distinct 'stage two' model."
